,employee_id,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,department,salary,satisfaction_level,last_evaluation
0,1003,2,157,3,0,1,No,sales,low,0.38,0.53
1,1005,5,262,6,0,1,No,sales,medium,0.8,0.86
2,1486,7,272,4,0,1,No,sales,medium,0.11,0.88
3,1038,5,223,5,0,1,No,sales,low,0.72,0.87
4,1057,2,159,3,0,1,No,sales,low,0.37,0.52
5,1060,2,153,3,0,1,No,sales,low,0.41,0.5
6,1061,6,247,4,0,1,No,sales,low,0.1,0.77
7,1576,5,259,5,0,1,No,sales,low,0.92,0.85
8,1752,5,224,5,0,1,No,sales,low,0.89,1.0
9,1988,2,142,3,0,1,No,sales,low,0.42,0.53
10,1071,2,135,3,0,1,No,sales,low,0.45,0.54
11,1088,6,305,4,0,1,No,sales,low,0.11,0.81
12,2040,4,234,5,0,1,No,sales,low,0.84,0.92
13,1097,2,148,3,0,1,No,sales,low,0.41,0.55
14,1100,2,137,3,0,1,No,sales,low,0.36,0.56
15,1113,2,143,3,0,1,No,sales,low,0.38,0.54
16,58014,2,160,3,0,1,No,sales,low,0.45,0.47
17,3322,4,255,6,0,1,No,sales,low,0.78,0.99
18,3794,2,160,3,1,1,Yes,sales,low,,
19,1140,5,262,5,0,1,No,sales,low,,0.89
20,1148,6,282,4,0,1,No,sales,low,0.11,0.83
21,1149,2,147,3,0,1,No,sales,low,0.38,0.55
22,1158,6,304,4,0,1,No,sales,low,0.09,0.95
23,1166,2,139,3,0,1,No,sales,low,0.46,0.57
24,1175,2,158,3,0,1,No,sales,low,0.4,0.53
25,1184,5,242,5,0,1,No,sales,low,0.89,0.92
26,1186,4,239,5,0,1,No,sales,low,0.82,0.87
27,1201,2,135,3,0,1,No,sales,low,0.4,0.49
28,1203,2,128,3,0,1,No,accounting,low,0.41,0.46
29,1204,2,132,3,0,1,No,accounting,low,0.38,0.5
30,1214,6,294,4,0,1,No,accounting,low,0.09,0.62
31,1223,2,134,3,0,1,No,hr,low,0.45,0.57
32,1228,2,145,3,0,1,No,hr,low,0.4,0.51
33,1230,2,140,3,0,1,No,hr,low,,
34,1236,4,246,6,0,1,No,hr,low,0.84,0.87
35,4266,6,255,4,0,1,No,technical,low,0.1,0.94
36,1240,2,137,3,0,1,No,technical,low,0.38,0.46
37,1248,2,126,3,0,1,No,technical,low,0.45,0.5
38,1256,6,306,4,0,1,No,technical,low,0.11,0.89
39,4414,2,152,3,0,1,No,technical,low,0.41,0.54
40,1284,5,269,5,0,1,No,technical,low,0.87,0.88
41,5983,2,158,3,0,1,No,technical,low,0.45,0.48
42,1293,2,127,3,0,1,No,technical,low,0.4,0.46
43,7010,7,281,4,0,1,No,technical,low,0.1,0.8
44,52647,6,276,4,0,1,No,technical,low,0.09,0.89
45,10497,3,182,4,0,1,No,technical,low,0.84,0.74
46,1310,2,147,3,0,1,No,support,low,0.4,0.55
47,1311,3,273,6,0,1,No,support,low,0.57,0.7
48,1316,2,148,3,0,1,No,support,low,0.4,0.54
49,1319,2,147,3,0,1,No,support,low,0.43,0.47
50,10865,6,152,2,0,1,No,support,low,0.13,0.78
51,1332,2,135,3,0,1,No,support,low,0.44,0.55
52,1334,2,134,3,0,1,No,support,low,0.38,0.55
53,1340,2,132,3,0,1,No,support,low,,
54,1341,7,307,4,0,1,No,support,low,0.1,0.92
55,1347,2,140,3,0,1,No,support,low,0.37,0.46
56,14030,7,255,4,0,1,No,support,low,0.11,0.94
57,1361,6,309,4,0,1,No,technical,low,0.1,0.81
58,1371,2,128,3,0,1,No,technical,low,0.38,0.54
59,1374,4,225,5,0,1,No,technical,low,0.85,1.0
60,1393,5,226,5,0,1,No,management,medium,0.85,0.91
61,1399,7,308,4,0,1,No,IT,medium,0.11,0.93
62,1404,6,244,5,0,1,No,IT,medium,0.1,0.95
63,1413,2,132,3,0,1,No,IT,medium,0.36,0.56
64,42423,6,286,4,0,1,No,IT,medium,0.11,0.94
65,1424,6,161,4,0,1,No,IT,medium,0.81,0.7
66,1426,2,153,3,0,1,No,product_mng,medium,0.43,0.54
67,1430,4,264,6,0,1,No,product_mng,medium,0.9,0.98
68,1438,5,223,5,1,1,No,product_mng,medium,0.76,0.86
69,11426,2,135,3,0,1,No,product_mng,medium,0.43,0.5
70,1443,2,277,3,0,1,No,IT,medium,0.74,0.99
71,1450,5,275,4,0,1,No,product_mng,medium,0.09,0.77
72,22316,2,149,3,0,1,No,product_mng,high,,
73,1454,7,295,4,0,1,No,product_mng,low,0.09,0.87
74,1463,6,277,4,0,1,No,product_mng,medium,0.11,0.97
75,1466,7,306,4,0,1,No,product_mng,medium,0.11,0.79
76,1467,6,295,4,0,1,No,product_mng,medium,0.1,0.83
77,1473,2,137,3,0,1,No,marketing,medium,0.4,0.54
78,13107,2,157,3,0,1,No,sales,low,0.43,0.56
79,1489,2,142,3,0,1,No,accounting,low,0.39,0.56
80,1490,2,140,3,0,1,No,support,low,0.45,0.54
81,1493,2,151,3,0,1,No,technical,low,0.38,0.49
82,1506,4,139,3,0,1,Yes,management,low,0.79,0.59
83,1508,4,249,6,0,1,No,marketing,low,0.84,0.85
84,15896,6,291,4,0,1,No,marketing,low,0.11,0.77
85,1530,6,305,4,0,1,No,marketing,low,0.11,0.87
86,1537,5,232,3,0,1,No,sales,low,0.17,0.84
87,1543,2,132,3,0,1,No,sales,low,0.44,0.45
88,1548,2,130,3,0,1,No,sales,low,0.37,0.57
89,1558,6,291,4,0,1,No,sales,low,0.1,0.79
90,1571,2,130,3,0,1,No,sales,low,0.4,0.5
91,17231,5,246,5,0,1,No,sales,low,0.89,1.0
92,1581,2,143,3,0,1,No,sales,low,,
93,1590,2,129,3,0,1,No,sales,low,0.46,0.55
